country_name_short,country_name,election_type,election_date,vote_share,seats,seats_total,party_name_short,party_name,party_name_english,left_right,country_id,election_id,previous_parliament_election_id,previous_cabinet_id,party_id
AUS,Australia,parliament,1931-12-19,36.4,34,76,UAP,United Australia Party,United Australia Party,,33,744,729,1015,1912
AUS,Australia,parliament,1931-12-19,12.2,16,76,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,744,729,1015,184
AUS,Australia,parliament,1931-12-19,27.1,15,76,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,744,729,1015,1253
AUS,Australia,parliament,1931-12-19,5.5,6,76,EC-SA,Emergency Committee (SA),Emergency Committee (SA),,33,744,729,1015,1904
AUS,Australia,parliament,1931-12-19,10.6,4,76,LLP,Lang Labour Party,Lang Labour Party,,33,744,729,1015,303
AUS,Australia,parliament,1931-12-19,7.9,1,76,none,no party affiliation,no party affiliation,,33,744,729,1015,1396
AUS,Australia,parliament,1934-09-15,31.9,27,75,UAP,United Australia Party,United Australia Party,,33,746,744,1016,1912
AUS,Australia,parliament,1934-09-15,26.8,18,75,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,746,744,1016,1253
AUS,Australia,parliament,1934-09-15,10.4,12,75,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,746,744,1016,184
AUS,Australia,parliament,1934-09-15,14.4,9,75,LLP,Lang Labour Party,Lang Labour Party,,33,746,744,1016,303
AUS,Australia,parliament,1934-09-15,4.0,5,75,LCL,Liberal and Country League,Liberal and Country League,,33,746,744,1016,1919
AUS,Australia,parliament,1934-09-15,2.2,2,75,ACP-V,Australian Country Party (Vic),Australian Country Party (Vic),,33,746,744,1016,1935
AUS,Australia,parliament,1934-09-15,3.0,1,75,none,no party affiliation,no party affiliation,,33,746,744,1016,1396
AUS,Australia,parliament,1934-09-15,1.0,1,75,NAT-WA,Nationalist,Nationalist,,33,746,744,1016,1925
AUS,Australia,parliament,1934-09-15,4.7,0,75,SCP,Social Credit Party,Social Credit Party,,33,746,744,1016,1911
AUS,Australia,parliament,1934-09-15,1.3,0,75,COM,Communist,Communist,,33,746,744,1016,1922
AUS,Australia,parliament,1937-10-23,43.1,29,75,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,745,746,1017,1253
AUS,Australia,parliament,1937-10-23,33.68,28,75,UAP,United Australia Party,United Australia Party,,33,745,746,1017,1912
AUS,Australia,parliament,1937-10-23,11.5,12,75,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,745,746,1017,184
AUS,Australia,parliament,1937-10-23,3.4,3,75,SC-V,State Country,State Country,,33,745,746,1017,1920
AUS,Australia,parliament,1937-10-23,0.7,1,75,FC-V,Federal Country,Federal Country,,33,745,746,1017,1924
AUS,Australia,parliament,1937-10-23,4.2,1,75,none,no party affiliation,no party affiliation,,33,745,746,1017,1396
AUS,Australia,parliament,1937-10-23,0.71,1,75,IUAP-NSW,Independent UAP (NSW),Independent UAP (NSW),,33,745,746,1017,1941
AUS,Australia,parliament,1937-10-23,2.2,0,75,SCP,Social Credit Party,Social Credit Party,,33,745,746,1017,1911
AUS,Australia,parliament,1940-09-21,40.1,32,75,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,738,745,1021,1253
AUS,Australia,parliament,1940-09-21,30.2,23,75,UAP,United Australia Party,United Australia Party,,33,738,745,1021,1912
AUS,Australia,parliament,1940-09-21,11.1,10,75,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,738,745,1021,184
AUS,Australia,parliament,1940-09-21,5.2,4,75,NCL-NSW,Australian Labor Party (Non-Communist),Australian Labor Party (Non-Communist),,33,738,745,1021,1940
AUS,Australia,parliament,1940-09-21,8.7,3,75,none,no party affiliation,no party affiliation,,33,738,745,1021,1396
AUS,Australia,parliament,1940-09-21,1.3,2,75,LCP-V,Liberal Country Party (Vic),Liberal Country Party (Vic),,33,738,745,1021,1939
AUS,Australia,parliament,1940-09-21,0.8,1,75,UCP-V,United Country Party (Vic),United Country Party (Vic),,33,738,745,1021,1932
AUS,Australia,parliament,1940-09-21,2.6,0,75,SL-NSW,State Labor Party (NSW),State Labor Party (NSW),,33,738,745,1021,1908
AUS,Australia,parliament,1943-08-21,49.9,49,75,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,737,738,995,1253
AUS,Australia,parliament,1943-08-21,16.0,12,75,UAP,United Australia Party,United Australia Party,,33,737,738,995,1912
AUS,Australia,parliament,1943-08-21,6.3,8,75,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,737,738,995,184
AUS,Australia,parliament,1943-08-21,12.8,3,75,none,no party affiliation,no party affiliation,,33,737,738,995,1396
AUS,Australia,parliament,1943-08-21,3.5,1,75,LCL,Liberal and Country League,Liberal and Country League,,33,737,738,995,1919
AUS,Australia,parliament,1943-08-21,1.5,1,75,QC,Queensland Country Party,Queensland Country Party,,33,737,738,995,1928
AUS,Australia,parliament,1943-08-21,4.0,1,75,CN-QLD,Country-National Party (Qld),Country-National Party (Qld),,33,737,738,995,1933
AUS,Australia,parliament,1943-08-21,2.0,0,75,COM,Communist,Communist,,33,737,738,995,1922
AUS,Australia,parliament,1943-08-21,1.0,0,75,LD-NSW,Liberal Democratic Party (New South Wales),Liberal Democratic Party (New South Wales),,33,737,738,995,1927
AUS,Australia,parliament,1943-08-21,2.1,0,75,OPA,One Parliament for Australia,One Parliament for Australia,,33,737,738,995,1936
AUS,Australia,parliament,1946-09-28,49.7,43,75,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,739,737,574,1253
AUS,Australia,parliament,1946-09-28,28.6,15,75,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,739,737,574,1411
AUS,Australia,parliament,1946-09-28,10.7,12,75,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,739,737,574,184
AUS,Australia,parliament,1946-09-28,2.3,2,75,none,no party affiliation,no party affiliation,,33,739,737,574,1396
AUS,Australia,parliament,1946-09-28,4.4,2,75,LCL,Liberal and Country League,Liberal and Country League,,33,739,737,574,1919
AUS,Australia,parliament,1946-09-28,1.6,1,75,LLP,Lang Labour Party,Lang Labour Party,,33,739,737,574,303
AUS,Australia,parliament,1946-09-28,1.2,0,75,SPA,Services Party of Australia,Services Party of Australia,,33,739,737,574,1897
AUS,Australia,parliament,1946-09-28,1.5,0,75,COM,Communist,Communist,,33,739,737,574,1922
AUS,Australia,parliament,1949-12-10,39.3,55,123,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,734,739,490,1411
AUS,Australia,parliament,1949-12-10,46.0,48,123,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,734,739,490,1253
AUS,Australia,parliament,1949-12-10,10.8,19,123,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,734,739,490,184
AUS,Australia,parliament,1949-12-10,3.9,1,123,none,no party affiliation,no party affiliation,,33,734,739,490,1396
AUS,Australia,parliament,1951-04-28,47.7,54,123,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,763,734,450,1253
AUS,Australia,parliament,1951-04-28,40.5,52,123,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,763,734,450,1411
AUS,Australia,parliament,1951-04-28,9.7,17,123,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,763,734,450,184
AUS,Australia,parliament,1951-04-28,2.1,0,123,none,no party affiliation,no party affiliation,,33,763,734,450,1396
AUS,Australia,parliament,1954-05-29,50.1,59,123,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,743,763,566,1253
AUS,Australia,parliament,1954-05-29,38.5,47,123,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,743,763,566,1411
AUS,Australia,parliament,1954-05-29,8.5,17,123,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,743,763,566,184
AUS,Australia,parliament,1954-05-29,2.9,0,123,none,no party affiliation,no party affiliation,,33,743,763,566,1396
AUS,Australia,parliament,1955-12-10,39.7,57,124,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,742,743,178,1411
AUS,Australia,parliament,1955-12-10,44.7,49,124,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,742,743,178,1253
AUS,Australia,parliament,1955-12-10,7.9,18,124,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,742,743,178,184
AUS,Australia,parliament,1955-12-10,5.1,0,124,DLP,Democratic Labour Party,Democratic Labour Party,4.166666666666667,33,742,743,178,1306
AUS,Australia,parliament,1955-12-10,2.6,0,124,none,no party affiliation,no party affiliation,,33,742,743,178,1396
AUS,Australia,parliament,1958-11-22,37.1,58,124,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,749,742,479,1411
AUS,Australia,parliament,1958-11-22,42.9,47,124,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,749,742,479,1253
AUS,Australia,parliament,1958-11-22,9.3,19,124,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,749,742,479,184
AUS,Australia,parliament,1958-11-22,9.4,0,124,DLP,Democratic Labour Party,Democratic Labour Party,4.166666666666667,33,749,742,479,1306
AUS,Australia,parliament,1958-11-22,1.3,0,124,none,no party affiliation,no party affiliation,,33,749,742,479,1396
AUS,Australia,parliament,1961-12-09,48.0,62,124,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,740,749,627,1253
AUS,Australia,parliament,1961-12-09,33.5,45,124,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,740,749,627,1411
AUS,Australia,parliament,1961-12-09,8.5,17,124,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,740,749,627,184
AUS,Australia,parliament,1961-12-09,8.7,0,124,DLP,Democratic Labour Party,Democratic Labour Party,4.166666666666667,33,740,749,627,1306
AUS,Australia,parliament,1961-12-09,1.4,0,124,none,no party affiliation,no party affiliation,,33,740,749,627,1396
AUS,Australia,parliament,1963-11-30,37.1,52,124,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,741,740,288,1411
AUS,Australia,parliament,1963-11-30,45.5,52,124,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,741,740,288,1253
AUS,Australia,parliament,1963-11-30,8.9,20,124,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,741,740,288,184
AUS,Australia,parliament,1963-11-30,7.4,0,124,DLP,Democratic Labour Party,Democratic Labour Party,4.166666666666667,33,741,740,288,1306
AUS,Australia,parliament,1963-11-30,1.0,0,124,none,no party affiliation,no party affiliation,,33,741,740,288,1396
AUS,Australia,parliament,1966-11-26,40.1,61,124,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,764,741,261,1411
AUS,Australia,parliament,1966-11-26,40.0,41,124,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,764,741,261,1253
AUS,Australia,parliament,1966-11-26,9.8,21,124,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,764,741,261,184
AUS,Australia,parliament,1966-11-26,2.7,1,124,none,no party affiliation,no party affiliation,,33,764,741,261,1396
AUS,Australia,parliament,1966-11-26,7.3,0,124,DLP,Democratic Labour Party,Democratic Labour Party,4.166666666666667,33,764,741,261,1306
AUS,Australia,parliament,1969-10-25,47.0,59,125,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,735,764,795,1253
AUS,Australia,parliament,1969-10-25,34.8,46,125,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,735,764,795,1411
AUS,Australia,parliament,1969-10-25,8.6,20,125,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,735,764,795,184
AUS,Australia,parliament,1969-10-25,2.8,0,125,none,no party affiliation,no party affiliation,,33,735,764,795,1396
AUS,Australia,parliament,1969-10-25,6.0,0,125,DLP,Democratic Labour Party,Democratic Labour Party,4.166666666666667,33,735,764,795,1306
AUS,Australia,parliament,1972-12-02,49.6,67,125,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,759,735,671,1253
AUS,Australia,parliament,1972-12-02,32.0,38,125,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,759,735,671,1411
AUS,Australia,parliament,1972-12-02,9.4,20,125,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,759,735,671,184
AUS,Australia,parliament,1972-12-02,5.2,0,125,DLP,Democratic Labour Party,Democratic Labour Party,4.166666666666667,33,759,735,671,1306
AUS,Australia,parliament,1972-12-02,2.4,0,125,AP,Australia Party,Australia Party,,33,759,735,671,1760
AUS,Australia,parliament,1972-12-02,1.3,0,125,none,no party affiliation,no party affiliation,,33,759,735,671,1396
AUS,Australia,parliament,1974-05-18,49.3,66,127,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,758,759,507,1253
AUS,Australia,parliament,1974-05-18,34.9,40,127,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,758,759,507,1411
AUS,Australia,parliament,1974-05-18,10.8,21,127,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,758,759,507,184
AUS,Australia,parliament,1974-05-18,1.4,0,127,DLP,Democratic Labour Party,Democratic Labour Party,4.166666666666667,33,758,759,507,1306
AUS,Australia,parliament,1974-05-18,2.3,0,127,AP,Australia Party,Australia Party,,33,758,759,507,1760
AUS,Australia,parliament,1975-12-13,41.8,68,127,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,757,758,720,1411
AUS,Australia,parliament,1975-12-13,42.8,36,127,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,757,758,720,1253
AUS,Australia,parliament,1975-12-13,11.0,22,127,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,757,758,720,184
AUS,Australia,parliament,1975-12-13,0.2,1,127,CLP,Country Liberal Party,Country Liberal Party,,33,757,758,720,215
AUS,Australia,parliament,1975-12-13,1.7,0,127,none,no party affiliation,no party affiliation,,33,757,758,720,1396
AUS,Australia,parliament,1975-12-13,1.3,0,127,DLP,Democratic Labour Party,Democratic Labour Party,4.166666666666667,33,757,758,720,1306
AUS,Australia,parliament,1977-12-10,38.1,67,124,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,755,757,836,1411
AUS,Australia,parliament,1977-12-10,39.6,38,124,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,755,757,836,1253
AUS,Australia,parliament,1977-12-10,9.8,18,124,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,755,757,836,184
AUS,Australia,parliament,1977-12-10,0.2,1,124,CLP,Country Liberal Party,Country Liberal Party,,33,755,757,836,215
AUS,Australia,parliament,1977-12-10,1.4,0,124,none,no party affiliation,no party affiliation,,33,755,757,836,1396
AUS,Australia,parliament,1977-12-10,1.4,0,124,DLP,Democratic Labour Party,Democratic Labour Party,4.166666666666667,33,755,757,836,1306
AUS,Australia,parliament,1977-12-10,9.4,0,124,AD,Australian Democrats,Australian Democrats,3.7003898970100146,33,755,757,836,120
AUS,Australia,parliament,1980-10-18,37.4,54,125,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,736,755,421,1411
AUS,Australia,parliament,1980-10-18,45.1,51,125,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,736,755,421,1253
AUS,Australia,parliament,1980-10-18,8.9,20,125,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,736,755,421,184
AUS,Australia,parliament,1980-10-18,1.7,0,125,none,no party affiliation,no party affiliation,,33,736,755,421,1396
AUS,Australia,parliament,1980-10-18,6.6,0,125,AD,Australian Democrats,Australian Democrats,3.7003898970100146,33,736,755,421,120
AUS,Australia,parliament,1983-03-05,49.5,75,125,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,751,736,774,1253
AUS,Australia,parliament,1983-03-05,34.4,33,125,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,751,736,774,1411
AUS,Australia,parliament,1983-03-05,9.0,17,125,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,751,736,774,184
AUS,Australia,parliament,1983-03-05,5.0,0,125,AD,Australian Democrats,Australian Democrats,3.7003898970100146,33,751,736,774,120
AUS,Australia,parliament,1983-03-05,1.7,0,125,none,no party affiliation,no party affiliation,,33,751,736,774,1396
AUS,Australia,parliament,1984-12-01,47.5,82,148,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,733,751,576,1253
AUS,Australia,parliament,1984-12-01,34.1,44,148,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,733,751,576,1411
AUS,Australia,parliament,1984-12-01,10.6,21,148,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,733,751,576,184
AUS,Australia,parliament,1984-12-01,0.3,1,148,CLP,Country Liberal Party,Country Liberal Party,,33,733,751,576,215
AUS,Australia,parliament,1984-12-01,1.4,0,148,none,no party affiliation,no party affiliation,,33,733,751,576,1396
AUS,Australia,parliament,1984-12-01,5.4,0,148,AD,Australian Democrats,Australian Democrats,3.7003898970100146,33,733,751,576,120
AUS,Australia,parliament,1987-07-11,45.8,86,148,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,732,733,401,1253
AUS,Australia,parliament,1987-07-11,34.3,43,148,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,732,733,401,1411
AUS,Australia,parliament,1987-07-11,11.5,19,148,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,732,733,401,184
AUS,Australia,parliament,1987-07-11,6.0,0,148,AD,Australian Democrats,Australian Democrats,3.7003898970100146,33,732,733,401,120
AUS,Australia,parliament,1987-07-11,2.0,0,148,none,no party affiliation,no party affiliation,,33,732,733,401,1396
AUS,Australia,parliament,1990-03-24,39.4,78,148,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,752,732,875,1253
AUS,Australia,parliament,1990-03-24,34.8,55,148,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,752,732,875,1411
AUS,Australia,parliament,1990-03-24,8.4,14,148,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,7.822222233376304,33,752,732,875,184
AUS,Australia,parliament,1990-03-24,3.4,1,148,none,no party affiliation,no party affiliation,,33,752,732,875,1396
AUS,Australia,parliament,1990-03-24,1.4,0,148,AG,Australian Greens,Australian Greens,1.5438596825850635,33,752,732,875,751
AUS,Australia,parliament,1990-03-24,1.0,0,148,CDP,Christian Democratic Party,Christian Democratic Party,,33,752,732,875,1650
AUS,Australia,parliament,1990-03-24,11.3,0,148,AD,Australian Democrats,Australian Democrats,3.7003898970100146,33,752,732,875,120
AUS,Australia,parliament,1993-03-13,44.9,80,147,ALP,Australian Labor Party,Australian Labor Party,3.88333336679559,33,753,752,725,1253
AUS,Australia,parliament,1993-03-13,36.8,49,147,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422460124,33,753,752,725,1411
