id,type_id,country_id,date,first_round_election_id,early,wikipedia,seats_total,electorate,votes_cast,votes_valid,data_source,description,comment,previous_parliament_election_id,previous_ep_election_id,previous_cabinet_id,old_countryID,old_parlID
50,13,68,2006-06-03,,0,,200,8333305,5368495,5348976,volby,,,487,567,15,203,20060
51,13,8,1972-11-29,,1,,150,,,,,,,125,,291,528,19720
52,13,55,2006-10-07,,0,,100,1490636,908979,901665,parline,,,260,145,535,428,20060
53,13,5,1976-12-05,,0,,511,77926588,57231992,56612765,parline,,,333,,59,392,19760
54,1,35,1995-01-01,,0,,22,,,,,,"Elections took only place later in 1995. Results reflect the initial composition of Swedish MEPs, based on the party composition of the Riksdag.",412,,528,752,1019950
55,1,35,1995-09-17,,0,,22,6551781,2727317,2683151,sos,,,412,54,528,752,1019951
56,13,11,1984-07-14,,1,"http://en.wikipedia.org/wiki/New_Zealand_general_election,_1984",95,2111651,1978798,1929201,yb-nzl,,,513,,259,554,19840
57,13,5,1993-07-18,,1,,511,94866020,63547819,62804145,parline,,,25,,253,392,19930
58,1,8,1994-06-12,,0,,31,11618677,4146730,4133557,ejpr,,,570,587,148,528,1019940
59,13,15,2000-10-08,,0,,141,2626321,1539743,1471247,ejpr,,,566,,735,440,20000
60,13,37,1948-02-04,,0,,147,1800120,1336628,1323443,,,,122,,151,372,19480
62,13,8,1986-05-21,,1,,150,,,,,,,116,341,270,528,19860
63,13,68,1990-06-09,,0,,200,7553447,7310856,7211047,essex,,,,,,203,19900
64,13,21,1973-12-04,,1,,179,3460737,3070253,3053203,,,,400,,320,208,19730
65,13,26,1972-05-07,,1,,630,37049351,34532535,33403528,archivio,,,261,,398,380,19720
66,13,59,1994-10-09,,0,,183,5774000,4730987,4633114,"bmi, parline","Election on 9 October 1994. 
The parliament was dissolveld on 13 October 1995 after the end of Cabinet Vranitzky IV.",,325,,524,40,19940
67,13,59,1949-10-09,,0,,165,4391815,4250616,4193733,"bmi, yb-aut","Election on 9 October 1949.
Parliament was dissolved on 30 October 1953 after the end of the Figl III cabinet.",,402,,884,40,19490
70,13,51,1981-05-24,,0,,35,308729,295602,291021,parline,,,528,,210,196,19810
71,13,67,1954-03-08,,1,,200,2526969,2019042,2008257,"idea, tila",,,575,,738,246,19540
73,13,21,1960-11-15,,1,,179,2842336,2439936,2431947,,,,263,,467,208,19600
74,13,8,2002-05-15,,0,,150,,,,,,,372,177,749,528,20020
75,13,43,1946-11-10,,0,,544,,,,,,,348,,150,250,19461
76,13,29,1962-06-18,,0,,265,,,7690134,"pica, pica",,,286,,697,124,19620
77,13,67,1970-03-16,,0,,200,3094359,2544510,2535782,"idea, tila",Parliament was dissolved on 29 October 1972 after the resignation of the Karjalainen III cabinet.,,460,,203,246,19700
79,13,10,2009-07-05,,0,,240,7129965,4345450,4226194,parline,,,618,432,425,100,20090
80,13,60,2004-10-03,,0,,90,,,,,,,525,659,292,705,20040
81,13,8,1981-05-26,,1,,150,,,,,,,635,23,563,528,19810
82,13,56,1995-04-08,,0,,63,191973,167751,165043,"hagstofa, idea",,,274,,640,352,19950
83,13,75,2007-03-04,,0,"http://en.wikipedia.org/wiki/Estonian_parliamentary_election,_2007",101,,,,,,,423,130,274,233,20070
84,13,67,1979-03-13,,0,,200,3858553,2906066,2894446,"idea, tila",,,98,,492,246,19790
85,13,27,1982-10-28,,0,,350,,,,,,,493,,406,724,19820
87,1,41,1984-06-17,,0,,24,7790309,6014119,5956060,"ep, idea",,,227,147,713,300,1019840
88,13,56,1953-06-28,,0,,52,87601,78754,77410,gud97,,,259,,766,352,19530
89,13,21,1994-09-21,,1,,179,3988787,3360637,3327597,,PM Rasmussen called an early election on 19 February 1998.,,157,434,740,208,19940
90,13,63,1991-10-06,,0,,230,8462357,5735431,5624759,"cne, parline",,the number of votes for parties differ significantly between Parline and EJPR,480,504,718,620,19910
91,13,29,1968-06-25,,1,,264,,,8125996,"pica, pica",,,282,,565,124,19680
93,13,54,2009-09-27,,0,,622,62168489,44005575,43371190,bwl,,Total seats change to 621 on 3 March 2011 (Christian Social Union [CSU] seat ) and to 620 on 27 May (Christian Democrats [CDU]) after losing surplus seats following MP resignations.,118,231,85,276,20090
94,13,11,1949-11-30,,0,"http://en.wikipedia.org/wiki/New_Zealand_general_election,_1949",80,1148748,1079878,1073154,"no-2001, nyt",Parliament was dissolved following dispute over a dock strike.,,586,,474,554,19490
95,13,54,1972-11-19,,1,,496,41446302,37761589,37459750,bwl,,,447,,358,276,19720
96,13,29,1988-11-21,,1,,295,,,13281191,"pica, pica",,,159,,498,124,19880
97,13,21,1966-11-22,,1,,179,3162352,2802304,2794007,,,,288,,660,208,19660
98,13,67,1975-09-22,,1,,200,3741460,2761223,2749818,"idea, nyt, tila",Early elections after the fall of the Sorsa I cabinet.,,636,,143,246,19750
99,13,27,1996-03-03,,0,,350,,,,,,,252,44,654,724,19960
100,13,9,1981-09-14,,0,"http://en.wikipedia.org/wiki/Norwegian_parliamentary_election,_1981",155,3003093,2462142,2458755,seby,,,499,,81,578,19810
101,13,67,1945-03-18,,0,,200,2284249,1710251,1698376,"idea, tila",,,297,,120,246,19450
102,13,44,1951-10-25,,1,,625,34919331,,28596594,,,Labour called the election in the hope of increasing their five seat majority.,625,,88,826,19510
103,13,54,1953-09-06,,0,,487,33120940,28479550,27551272,"bwl, dhbt",,,581,,147,276,19530
104,1,35,2004-06-13,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_%28Sweden%29",19,6827870,2584464,2512069,"val, ejpr",,,156,374,641,752,1020040
105,13,40,1995-10-22,,0,,200,,,,,,,521,,773,756,19950
106,13,63,1985-10-06,,1,,250,7818981,5798929,5653610,"ap, cne",President Soares dissolved parliament on 28 April 1987 and set snap elections for 19 July (AP).,,598,,885,620,19850
107,13,26,2006-04-09,,1,,630,49502192,40436294,39207414,archivio,,"For the national election of 2006 most parties participated in one of the two coalitions (The Union (Romano Prodi) or The House of Freedoms (Silvio Berlusconi)). Elections took place separately in the Aosta-Valley, overseas and in Italy itself. The data presented includes the results of all votes taken together. With the new electoral law incentives were given for the parties to organize themselves in two big coalitions (the coalition with the most votes gets at least 340 of the 630 seats in the lower chamber) and to form smaller electoral alliances as a response to a series of thresholds to get seats in parliament.
The vote in the italian homeland (excluding Aosta-Valley and voting outside italy) was won by The Union (19.002.598 votes) against House of Freedoms (18.977.843) resulting in 340 to 277 seats in the lower chamber for the italian homeland.
In the table below, the results of parties which didn't win any seat in parliament or had less than 0.5% support of voters are only provided if they supported one of the two main coalitions. Ot_union and ot_casa show the votes for the parties supporting one of the two main coalitions.",498,329,567,380,20060
108,13,40,1963-10-27,,0,,200,,,,,,,674,,623,756,19630
109,1,7,1984-06-17,,0,,6,215792,191623,173888,idea,,,606,589,27,442,1019840
111,13,26,2008-04-13,,1,"http://en.wikipedia.org/wiki/Italian_general_election,_2008",630,50257354,37954253,36530777,archivio,,,107,329,117,380,20080
112,13,29,1949-06-27,,0,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1949",262,,,5848971,"parl.gc.ca, pica, pica",,,189,,534,124,19490
113,13,5,1980-06-22,,1,,511,80925034,60338440,59028837,parline,,,433,,727,392,19800
114,13,56,1983-04-23,,0,,60,150977,133764,129962,"hagstofa, idea",,,436,,752,352,19830
116,13,8,1982-09-08,,1,,150,,,,,,,81,23,6,528,19820
117,13,11,1963-11-30,,0,"http://en.wikipedia.org/wiki/New_Zealand_general_election,_1963",80,1345836,1205322,1198045,"yb-nzl, ec-nz",,,666,,701,554,19630
118,13,54,2005-09-18,,1,"http://en.wikipedia.org/wiki/German_federal_election,_2005",614,61870711,48044134,47287988,bwl,Early election on 18 September 2005 after PM Schröder lost a vote of confidence.,Official results include a by-election at 2 October 2005 in the district Dresden I.,385,18,529,276,20050
119,13,1,1994-10-02,,0,,150,,,,,,,294,,817,703,19940
120,13,11,1969-11-29,,0,"http://en.wikipedia.org/wiki/New_Zealand_general_election,_1969",84,1503952,1351813,1340168,yb-nzl,,,391,,44,554,19690
121,13,21,1945-10-30,,0,,149,2381983,2055315,2049184,yb-dnk,,,,,10,208,19450
122,13,37,1944-05-30,,0,,138,1816142,1230139,1217349,,,,,,,372,19440
123,1,37,2004-06-13,,0,,13,3143026,1841335,1780768,idea,,,408,491,179,372,1020040
124,1,1,2004-06-13,,0,,14,4210463,714508,701595,idea,,,218,,547,703,1020040
125,13,8,1971-03-28,,0,,150,,,,,,,204,,172,528,19710
126,13,10,1997-04-19,,1,"http://en.wikipedia.org/wiki/Bulgarian_parliamentary_election,_1997",240,7289956,4291258,4256928,essex,,,355,,714,100,19970
127,13,51,1985-12-08,,0,,56,346454,327821,319467,parline,,,70,,313,196,19850
128,1,21,1984-06-17,,0,,16,3843947,2013359,1990280,yb-dnk,,,597,271,195,208,1019840
129,13,60,1990-04-12,,0,,80,1491471,,,su,,,,,,705,19900
130,1,75,2004-06-13,,0,,6,873809,234485,232230,ejpr,,,423,,138,233,1020040
133,13,67,1983-03-21,,0,,200,3951932,2992970,2979694,tila,,,84,,34,246,19830
134,1,8,2009-06-04,,0,,25,12378500,4573743,4553864,kiesraad,,,578,519,69,528,1020090
135,13,72,1950-09-04,,0,,40,,,,,,,550,,,470,19500
136,13,72,1981-12-12,,0,,65,,,,,,,533,,606,470,19810
137,13,29,2006-01-23,,1,"http://en.wikipedia.org/wiki/Canadian_federal_election,_2006",308,23054615,14908703,14817159,"nyt, parline, pica, pica",Parliament was dissolved on 7 September 2008 following a request by PM Harper.,,240,,308,124,20060
138,13,5,1983-12-18,,1,,511,84252608,57238897,56779701,parline,,,113,,242,392,19830
139,13,29,1980-02-18,,1,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1980",282,,,10947914,"pica, pica",,,683,,751,124,19800
140,1,63,2004-06-13,,0,,24,8821456,3404782,3270116,idea,,possible error in the primary source due to the valid votes,657,619,381,620,1020040
142,13,67,1936-07-01,,0,,200,,,1173382,tila,,,689,,,246,19360
143,13,64,2003-05-18,,0,,150,7570337,6936801,6572189,ibz,,,2,624,193,56,20030
144,13,7,1945-10-21,,0,"http://en.wikipedia.org/wiki/Luxembourgian_legislative_election,_1945",51,,,,,,,,,340,442,19450
145,1,55,2004-06-13,,0,,9,1397736,577879,571364,idea,,,260,,153,428,1020040
146,13,26,1994-03-27,,0,,630,48135041,41461260,38717043,"archivio, reuters",Scalfaro dissolved parliament on 16 February 1996 after the fall of the Dini cabinet and failed attempts to form a new cabinet.,,605,280,801,380,19940
147,1,41,1981-10-18,,0,,24,7319070,5752789,5753478,idea,,,596,245,531,300,1019811
149,13,7,1951-06-03,,0,,26,92110,83613,79662,no-2010,partial elections in Centre and North districts,,661,,799,442,19510
150,13,64,1965-05-23,,0,,212,6091534,5578876,5181935,ibz,Needs information about the largest party that won no seats.,,425,,613,56,19650
153,13,7,1954-05-30,,0,,52,,,,,,,149,,532,442,19540
156,13,35,2002-09-15,,0,,349,6722163,5385430,5303212,sos,,,33,374,503,752,20020
157,13,21,1990-12-12,,1,"http://en.wikipedia.org/wiki/Danish_parliamentary_election,_1990",179,3941499,3265240,3239662,,,,387,308,57,208,19900
158,13,74,1989-06-18,,0,,460,27026146,,,parline,,The first polish election after the breakdown of the communism had a special (semi-free or semi-democratic) character. The coding of this election will therefore absorb some more time.,,,,616,19890
159,13,29,1984-09-04,,1,,282,,,12548721,"pica, pica",,,139,,670,124,19840
160,1,43,2004-06-13,,0,,78,41518582,17752582,17167379,idea,,,403,273,802,250,1020040
161,13,44,1959-10-08,,0,,630,35397304,,27862652,,,,678,,404,826,19590
162,13,59,1995-12-17,,1,,183,5768099,4959455,4844173,"bmi, yb-aut",Early election on 17 December 1995.,Official results include a by-election on 13 October 1996.,66,13,294,40,19950
163,13,54,1976-10-03,,0,,496,42058015,38165753,37822500,bwl,,,95,,252,276,19760
164,13,27,2004-03-14,,0,,350,,,,,,,687,585,309,724,20040
165,13,23,2004-11-28,,0,,332,18449344,10794653,10146460,idea,,,336,,1029,642,20040
166,13,7,1968-12-15,,0,,56,,,,,,,579,,491,442,19680
167,13,9,1953-10-12,,0,http://no.wikipedia.org/wiki/Stortingsvalget_1953,150,2256799,1790331,1779831,mackie,,,478,,487,578,19530
168,1,21,2004-06-13,,0,,14,4012663,1921541,1894346,ejpr,,,632,668,482,208,1020040
169,13,59,1956-05-13,,1,,165,4614464,4427711,4351908,"bmi, yb-aut","Early election on 13 May 1956.
Parliament was dissolved after the end of the Raab II cabinet.",,11,,659,40,19560
171,13,43,2007-06-10,,0,,577,43888483,26525147,26023032,ejpr,,,403,160,807,250,20070
172,13,7,2009-06-07,,0,,60,223842,203535,190213,parline,,Each voter has as many votes as the number of deputies elected from each constituency. In the consequence the total number of votes exceeds the number of registered voters.,383,593,12,442,20090
173,13,72,1998-09-05,,1,,65,,,,,Early election after cabinet Sant lost its parliamentary majority.,,483,,299,470,19980
174,13,21,2007-11-13,,1,,179,4022920,3483533,3459420,"ejpr, reuters",PM Rasmussen called early elections on 26 August 2011.,,563,168,316,208,20070
175,13,35,1982-09-19,,0,,349,6130993,5606603,5554394,parline,,,473,,142,752,19820
176,13,40,1971-10-31,,0,,200,,,,,,,373,,777,756,19710
177,1,8,1999-06-13,,0,,31,11862864,3560764,3544408,ep,,,372,58,749,528,1019990
178,13,56,2003-05-10,,0,,63,211289,185311,183172,"hagstofa, idea",,,592,,177,352,20030
179,13,21,1981-12-08,,1,,179,3776333,3143424,3123563,,,,242,271,379,208,19810
181,1,67,2009-06-07,,0,,13,4332457,1672628,1662381,tila,,,314,198,277,246,1020090
182,13,8,1946-05-17,,0,,100,,,,,,,,,767,528,19460
183,13,7,1984-06-17,,0,,64,,,,,,,606,589,27,442,19840
184,13,64,1968-03-31,,1,"http://en.wikipedia.org/wiki/Belgian_general_election,_1968",212,6170167,5554652,5177952,ibz,,Needs information about the largest party that won no seats.,150,,353,56,19680
185,13,59,1971-10-10,,1,,183,4984448,4607616,4556990,"bmi, yb-aut",Early elections on 10 October 1971.,,377,,354,40,19710
187,13,67,1948-07-02,,0,,200,2420287,1893837,1879968,"idea, tila",,,101,,125,246,19480
188,13,74,2005-09-25,,0,,460,30229031,12244903,11804676,pkw,Parliament decided to dissolve on 7 September 2007 (377 to 54 vote) following the collapse of the Kaczynski government.,,565,199,322,616,20050
189,13,29,1945-06-11,,0,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1945",245,6952445,5305193,5246130,no-2005,,,,,,124,19450
190,13,37,2007-05-24,,0,,166,3110914,2085245,2065810,ejpr,,,408,123,179,372,20070
191,13,64,1987-12-13,,1,,212,7044211,6577047,6145207,ibz,,,396,10,92,56,19870
192,13,1,2006-06-17,,1,,150,4272517,2335917,2303139,www.statistics.sk,,,218,124,185,703,20060
193,1,67,1995-01-01,,0,,16,,,,,,"Elections took only place in 1996. Results reflect the initial composition of Finish MEPs, based on the party composition of the Eduskunta.",602,,206,246,1019950
194,13,39,2006-04-09,,0,,386,8043961,5457553,5408050,"ejpr, w",,,463,224,188,348,20060
195,1,60,2009-06-07,,0,,7,1699755,482058,463472,voltive,,,522,659,803,705,1020090
196,1,44,2004-06-10,,0,,78,44157267,17146559,17007880,ejpr,,The given values above are the sum of UK + NI values given in ejpr separately.,208,686,19,826,1020040
197,13,59,2006-10-01,,1,,183,6107892,4793780,4708281,"bmi, yb-aut","Early Election on 1 October 2006.
Parliament was dissolved after the end of the Cabinet Gusenbauer.",,365,45,888,40,20060
198,1,67,2004-06-13,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_%28Finland%29",14,4227987,1666932,1656584,tila,,,253,334,759,246,1020040
199,1,74,2004-06-13,,0,,54,29986109,6258550,6091531,"idea, pkw",,,565,,322,616,1020040
200,13,63,1976-04-25,,0,,263,6564667,5483461,5225765,"cne, reuters",President Ramalho Eanes dissolved parliament and called new elections on 13 July 1979 (Reuters).,Potentially an error in primary source related to the number of valid votes.,247,,,620,19760
201,13,41,2004-03-07,,0,,300,,,,,,,475,482,190,300,20040
202,13,11,1978-11-25,,0,"http://en.wikipedia.org/wiki/New_Zealand_general_election,_1978",92,2487594,1721443,1710173,"yb-nzl, ec-nz",,"The figure for the electorate is misleading, because it contained a large number of outdated and duplicate entries. The true electorate number is valued at 2.100.000.",459,,285,554,19780
203,13,72,2008-03-08,,0,,69,,,,,,,509,346,298,470,20080
204,13,8,1967-02-15,,0,,150,,,,,,,529,,455,528,19670
205,13,41,1989-06-18,,0,,300,,,,,,,453,87,39,300,19890
206,13,40,2003-10-19,,0,,200,,,,,,,427,,198,756,20030
207,13,9,1985-09-08,,0,,157,3100479,2605436,2601817,seby,,,100,,181,578,19850
208,13,44,2001-06-07,,0,,659,44403238,26467388,26367383,"bef-7, no-2010",,,315,686,838,826,20010
210,13,63,2005-02-20,,1,,230,8944508,5747834,5578782,cne,,possible error in the primary source due to the valid votes,657,140,755,620,20050
211,13,74,1991-10-27,,1,"http://en.wikipedia.org/wiki/Polish_parliamentary_election,_1991",460,27517280,11887949,11218602,pkw,,KLD and PPG created a parliamentary group named Polski Program Liberalny (Polish Liberal Program) on 6 November 1992.,158,,75,616,19910
213,13,21,1953-04-21,,0,,151,2571311,2077615,2070903,,,,430,,36,208,19530
214,13,15,2004-10-24,,0,,141,,,,,,,59,539,405,440,20040
215,13,35,1973-09-16,,0,,350,5690333,5168996,5160146,,,,258,,577,752,19730
216,13,63,1995-10-01,,0,,230,8906608,5904854,5791761,cne,,,90,14,282,620,19950
217,13,64,1950-06-04,,1,,212,5635452,5219278,4942807,ibz,,,644,,746,56,19500
218,13,1,2002-09-21,,0,,150,,,,,,,349,,699,703,20020
219,1,43,2009-06-07,,0,,72,44282823,1799216,17218614,ref,,,171,160,306,250,1020090
220,13,9,1945-10-08,,0,"http://en.wikipedia.org/wiki/Norwegian_parliamentary_election,_1945",150,1961977,1498194,1485225,mackie,,,,,666,578,19450
221,13,59,1975-10-05,,0,,183,5019277,4662684,4613432,"bmi, yb-aut","Election on 5 October 1975.
Parliament was dissolved following a referendum on nuclear energy.",,185,,365,40,19750
222,1,44,1984-06-17,,0,,81,42981348,13998215,13998190,"idea, ukeu",,,290,37,646,826,1019840
223,13,44,1964-10-15,,0,,630,35894054,27698221,27657148,,,,161,,63,826,19640
224,1,39,2004-06-13,,0,,24,8046247,3097657,3075450,idea,,,463,,302,348,1020040
225,13,56,1971-06-13,,0,,60,118289,106975,105395,"hagstofa, idea",,,318,,321,352,19710
226,13,21,1987-09-08,,1,"http://en.wikipedia.org/wiki/Danish_parliamentary_election,_1987",179,3907454,3389201,3362557,,,,597,128,195,208,19870
227,13,41,1981-10-18,,0,,300,,,,,,,596,245,531,300,19810
228,13,37,1982-02-18,,0,,166,,,,,,,47,414,335,372,19820
229,1,23,2009-06-07,,0,,33,18197316,4986700,4840033,bec,,,319,676,599,642,1020090
231,1,54,2009-06-07,,0,,99,62222873,26923614,26333444,bwl,,,118,18,85,276,1020090
232,1,59,2009-06-07,,0,,17,6362761,2925132,2864621,bmi,,,607,45,268,40,1020090
233,13,44,2005-05-05,,0,,646,44245939,27336093,27148510,ejpr,,,208,196,19,826,20050
234,13,35,1952-09-21,,0,,230,4805216,3801284,3783707,,,,431,,361,752,19520
235,13,59,1986-11-23,,1,,183,5461414,4940298,4852188,"bmi, yb-aut","Early election on 23 November 1986.
Parliament was dissolved on 5 July 1990 and a slightly earlier election date was set.",,456,,828,40,19860
237,13,5,2000-06-25,,1,,480,100492328,62757828,59844601,parline,,,628,,211,392,20000
238,1,7,1989-06-18,,0,,6,218940,191354,174421,idea,,,183,109,175,442,1019890
239,13,75,1999-03-07,,0,,101,857270,492356,484239,parline,,,600,,303,233,19990
240,13,29,2004-06-28,,1,,308,22466621,13683570,13564702,"parline, pica, pica",Parliament was dissolved on 29 November 2005 after Martin government lost a vote of confidence.,,455,,103,124,20040
242,13,21,1979-10-23,,1,,179,3730650,3194345,3171002,,,,409,271,824,208,19790
243,13,44,1979-05-03,,1,,635,41095490,31233208,31221362,,,Elections followed a lost vote of confidence.,40,,590,826,19790
244,13,72,1951-05-06,,0,,40,,,,,,,135,,,470,19510
245,1,41,1981-01-01,,0,,24,,,,mep,,"Elections took only later in 1981. Results reflect the initial composition of Greek MEPs, based on the party composition of the Hellenic Parliament.",596,,531,300,1019810
246,13,33,2010-08-21,,1,,150,14088260,13131667,12402363,aec,,,761,,736,36,20100
247,13,63,1975-04-25,,0,,250,6231372,5711829,5315064,cne,,possible error in the primary source due to the valid votes,,,,620,19750
248,13,63,1979-10-05,,1,,250,7249346,6007453,5843739,cne,,possible error in the primary source due to the valid votes,200,,384,620,19790
249,1,39,2009-06-07,,0,,22,8033247,2918110,2896179,ovb,,,194,224,162,348,1020090
250,13,54,1965-09-19,,0,,496,38510395,33416207,32620442,bwl,,,381,,31,276,19650
251,13,35,1958-06-01,,1,,231,4992421,3864963,3844252,,,,450,,380,752,19580
252,13,27,1993-06-06,,0,,350,,,,,,,289,474,37,724,19930
253,13,67,2003-03-16,,0,,200,4220951,2815700,2791757,"idea, tila",,,15,334,663,246,20030
254,13,27,1986-06-22,,0,,350,,,,,,,85,38,238,724,19860
255,1,74,2009-06-07,,0,,50,30565272,7505261,7364763,pkw,,,560,199,164,616,1020090
257,13,39,1990-04-08,,0,,386,,,,,,,,,,348,19900
258,13,35,1970-09-20,,0,,350,5645804,4984207,4976196,,First election after constitutional reform and change to a unicameral parliament.,,655,,219,752,19700
259,13,56,1949-10-24,,0,,52,,,,,,,35,,742,352,19490
260,13,55,2002-10-05,,0,,100,1395287,997754,990412,parline,,,615,,23,428,20020
261,13,26,1968-05-19,,0,,630,35566493,33001644,31790428,archivio,,,380,,433,380,19680
262,13,35,1976-09-19,,0,,349,5947077,5457043,5437748,,,,215,,438,752,19760
263,13,21,1957-05-14,,0,,179,2772159,2321097,2310175,,,,630,,218,208,19570
264,1,41,2009-06-07,,0,,22,9995992,5261036,5127237,w,,,466,672,581,300,1020090
265,13,56,2007-05-12,,0,,63,221368,185071,182169,"hagstofa, idea",,,178,,246,352,20070
268,13,74,1993-09-19,,1,,460,27655495,14415586,13796227,pkw,,,211,,730,616,19930
269,13,67,1930-10-01,,0,,200,,,1130028,tila,,,577,,,246,19300
271,1,21,1979-06-10,,0,,16,3725235,1781504,1745078,yb-dnk,,,409,,824,208,1019790
272,13,72,1953-12-14,,1,,40,,,,,,,244,,,470,19530
273,1,43,1999-06-13,,0,,87,40129780,18765259,17366604,"ep, idea",,,479,680,481,250,1019990
274,13,56,1991-04-20,,0,,63,182768,160142,157769,"hagstofa, idea",,,673,,127,352,19910
275,13,56,1978-06-25,,0,,60,137782,124377,122207,"hagstofa, idea",,,637,,849,352,19780
