id,country_id,family_id,name_short,name_english,name,name_ascii,name_nonlatin,wikipedia,data_source,description,comment,cmp,euprofiler,ees,morgan,castles_mair,huber_inglehart,ray,benoit_laver,chess,old_countryID,old_partyID
19,68,9,HSD/SMS,Movement for Self-Governing Democracy / Society for Moravia and Silesia,Hnutí za samosprávnou demokracii / Společnost pro Moravu a Slezsko,Hnuti za samospravnou demokracii / Spolecnost pro Moravu a Slezsko,,http://cs.wikipedia.org/wiki/Hnut%C3%AD_za_samospr%C3%A1vnou_demokracii_-_Spole%C4%8Dnost_pro_Moravu_a_Slezsko,,,,82951,,,,,,,,,203,18
20,1,40,PSNS,Right Slovak National Party,Pravá Slovenská národná strana,Prava Slovenska narodna strana,,,,,,,,,,,,,,2808,703,31
21,15,19,LZP,Lithuanian Green Party,Lietuvos žalioji partija,Lietuvos zalioji partija,,http://lt.wikipedia.org/wiki/Lietuvos_partijos,,,,,,,,,,,,,440,57
23,72,40,AN,National Action,Azzjoni Nazzjonali,Azzjoni Nazzjonali,,http://en.wikipedia.org/wiki/National_Action_%28Malta%29,,,,,225,1470700,,,,,,,470,28
24,66,16,Woman,All-Ukrainian Political Union Women for the Future,All-Ukrainian Political Union Women for the Future,All-Ukrainian Political Union Women for the Future,"Всеукраїнське політичне об’єднання ""Жінки за майбутнє""",http://en.wikipedia.org/wiki/Women_for_the_Future,,,,,,,,,,,4651,,804,10
25,75,9,SK,Independent Royalists,Sõltumatud Kuningriiklased,Soltumatud Kuningriiklased,,http://en.wikipedia.org/wiki/Independent_Royalist_Party_of_Estonia,,,,83901,,,,,,,,,233,30
26,40,6,FDP-PRD,Radical Democratic Party,Freisinnig-Demokratische Partei der Schweiz – Parti Radical-Democratique Suisse,Freisinnig-Demokratische Partei der Schweiz -- Parti Radical-Democratique Suisse,,http://en.wikipedia.org/wiki/Free_Democratic_Party_of_Switzerland,,,,43420,289,,,,3803,1703,8028,,756,47
27,9,14,NKP,Communist Party of Norway,Norges Kommunistiske Parti,Norges Kommunistiske Parti,,http://en.wikipedia.org/wiki/Communist_Party_of_Norway,,,,12220,,,44,,,1501,,,578,24
28,15,17,LLRA,Election Action of Lithuania's Poles,Lietuvos lenkų rinkimų akcija,Lietuvos lenku rinkimu akcija,,http://en.wikipedia.org/wiki/Election_Action_of_Lithuania's_Poles,,,,88951,,1440952,,,,,,2511,440,20
29,68,40,CSS,Czechoslovak Socialist Party,Československá strana socialistická,Ceskoslovenska strana socialisticka,,http://en.wikipedia.org/wiki/Czech_National_Social_Party,,,,,,,,,,,,,203,55
30,37,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,1372000,,,,,,,372,990
32,55,6,TSP,National Harmony Party,Tautas Saskaņas Partija,Tautas Saskanas Partija,,http://en.wikipedia.org/wiki/Tautas_Saskanas_Partija,,,,87421,,,,,,,2184,2402,428,52
35,40,11,SP-PS,Social Democratic Party of Switzerland,Sozialdemokratische Partei der Schweiz – Parti Socialiste Suisse,Sozialdemokratische Partei der Schweiz -- Parti Socialiste Suisse,,http://en.wikipedia.org/wiki/Social_Democratic_Party_of_Switzerland,,,,43320,291,,,,3801,1704,8108,,756,33
37,48,26,C,Conservatives,Conservatives,Conservatives,,http://en.wikipedia.org/wiki/Conservative_Party_%28UK%29,,,,,,,,,2006,,,,1002,15
40,23,28,AUL,Alliance for Romanian Unity,Alianţa pentru Unitatea Românilor,Alianta pentru Unitatea Romanilor,,,,,,93719,,,,,,,,,642,58
41,54,9,FW,Free Voters,Freie Wähler,Freie Waehler,,http://en.wikipedia.org/wiki/German_Pirate_Party,,,,,121,,,,,,,,276,69
42,55,12,LTF,Popular Front of Latvia,Latvijas Tautas fronte,Latvijas Tautas fronte,,http://en.wikipedia.org/wiki/Latvian_Popular_Front,,,,,,,,,,,,,428,10
44,1,14,KSS,Communist Party of Slovakia,Komunistická strana Slovenska,Komunisticka strana Slovenska,,http://en.wikipedia.org/wiki/Communist_Party_of_Slovakia,,,,96222,,1703222,,,,,3928,2807,703,52
47,41,3,ND,New Democracy,Néa Đimokratía,Nea Dimokratia,Νέα Δημοκρατία,http://en.wikipedia.org/wiki/New_Democracy_(Greece),,,,34511,153,1300511,,,,402,6143,402,300,30
48,15,26,SK,Sajudis coalition,Sajudzio koalicija,Sajudzio koalicija,,http://www2.essex.ac.uk/elect/database/indexElections.asp?country=LITHUANIA&election=lt92,,,,88421,,,,,,,,,440,44
50,59,40,FPO,Freedom Party of Austria,Freiheitliche Partei Österreichs,Freiheitliche Partei Oesterreichs,,http://en.wikipedia.org/wiki/Freedom_Party_of_Austria,,,,42420,10,1040420,,204,311,1303,4811,1303,40,24
51,26,26,IPdL,The People of Freedom,Il Popolo della Libertà,Il Popolo della Liberta,,http://en.wikipedia.org/wiki/People_of_Freedom,,,Party positions of external sources are linked to the biggest party of the coalition Forza Italia.,32610,186,1380630,,,,,6646,815,380,150
52,26,3,DCA,Christian Democracy for the Autonomies,Democrazia Cristiana per le Autonomie,Democrazia Cristiana per le Autonomie,,http://en.wikipedia.org/wiki/Christian_Democracy_for_the_Autonomies,,,,,,,,,,,,,380,175
53,56,14,Sfvm,Union of Liberals and Leftist,Samtök frjálslyndra og vinstri manna,Samtok frjalslyndra og vinstri manna,,http://en.wikipedia.org/wiki/Union_of_Liberals_and_Leftists,,,,15322,,,36,,,,,,352,32
55,26,9,LT,Lista per Trieste,Lista per Trieste,Lista per Trieste,,http://en.wikipedia.org/wiki/List_for_Trieste,,,,,,,,,,,,,380,21
57,10,26,DSB,Democrats for a Strong Bulgaria,Demokrati za Silna Balgarija,Demokrati za Silna Balgarija,Демократи за силна България,http://en.wikipedia.org/wiki/Democrats_for_a_Strong_Bulgaria,,,,,28,1100001,,,,,,2008,100,49
58,15,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,,,,,,,,440,990
59,43,26,IR,Independent Republicans,Independants républicains,Independants republicains,,http://en.wikipedia.org/wiki/Independent_Republicans,,,,,,,,,1410,606,,615,250,57
60,64,16,FDF/RW,Democratic Front of the Francophones / Walloon Rally,Front Démocratique des Francophones / Rassemblement wallon,Front Democratique des Francophones / Rassemblement wallon,,http://en.wikipedia.org/wiki/Walloon_Rally,,,,,,,,,,,,,56,81
62,27,27,UC/DCC,Union of Centre and Christian Democracy of Catalonia,Unió del Centre i la Democràcia Cristiana de Catalunya,Unio del Centre i la Democracia Cristiana de Catalunya,,http://es.wikipedia.org/wiki/Uni%C3%B3_del_Centre_i_de_la_Democr%C3%A0cia_Cristiana_de_Catalunya,,,,,,,,,,,,,724,66
63,64,6,LP-PL,Liberal Party,Liberale Partij – Parti libéral,Liberale Partij -- Parti liberal,,http://en.wikipedia.org/wiki/Liberal_Party_%28Belgium%29,,,,21420,,,98,,,,,,56,19
64,1,11,Sa,Social Democratic Alternative,Sociálnodemokratická alternatíva,Socialnodemokraticka alternativa,,http://en.wikipedia.org/wiki/Social_Democratic_Alternative,,,,,,,,,,,4027,,703,42
65,60,17,Mad,Hungarian national community,Madžarska narodna skupnost,Madzarska narodna skupnost,,,,,,,,,,,,,,,705,52
66,67,9,AS,Aland Coalition,Åländsk Samlingin ääntä – Åländsk Samling,Alandsk Samlingin aanta -- Alandsk Samling,,http://fi.wikipedia.org/wiki/%C3%85l%C3%A4ndsk_Samling,,,,,,,,,,,,,246,52
67,26,27,PdL,Freedom Pole,Polo delle Libertà,Polo delle Liberta,,http://en.wikipedia.org/wiki/Pole_of_Freedoms,,,,32629,,,,,,,,,380,130
68,18,28,NHI,New Croatian Initiative,Nova hrvatska inicijativa,Nova hrvatska inicijativa,,http://en.wikipedia.org/wiki/Croatian_Peasant_Party_%E2%80%93_New_Croatian_Initiative,,,,79423,,,,,,,,,70,15
72,55,27,DT,Labour and Justice,Darbs un Taisnīgums,Darbs un Taisnigums,,,,,,,,,,,,,,,428,77
73,27,16,ARM,Ruiz-Mateos List,Agrupación Ruiz-Mateos,Agrupación Ruiz-Mateos,,http://es.wikipedia.org/wiki/Agrupaci%C3%B3n_Ruiz-Mateos,,,"Van der Eijk and Franklin 1999, p. 469",,,,,,,,,,724,63
74,21,9,Si,Forward (Greenland),Siumut,Siumut,,http://en.wikipedia.org/wiki/Siumut,,,,,,,,,,,,,208,29
77,68,9,DZJ,Pensioners for life reliances,Důchodci za životní jistoty,Duchodci za zivotni jistoty,,,,,,82901,,,,,,,,,203,41
78,37,12,etc,others,aðrir,adir,,,,,,,,,,,,,,,372,995
80,26,26,LD,The Right,La Destra,La Destra,,http://en.wikipedia.org/wiki/The_Right,,,,,,1380631,,,,,,,380,157
81,9,14,SV,Socialist Left Party,Sosialistisk Venstreparti,Sosialistisk Venstreparti,,http://en.wikipedia.org/wiki/Sosialistisk_Venstreparti,,,,12221,,,,1301,2902,1502,7578,,578,10
82,63,16,PSN,National Solidarity Party,Partido da Solidariedade Nacional,Partido da Solidariedade Nacional,,http://pt.wikipedia.org/wiki/Partido_da_Solidariedade_Nacional,,,,35951,,,,,,1207,,,620,21
83,26,11,DL,Labour Democratic Party,Partito Democratico del Lavoro,Partito Democratico del Lavoro,,http://en.wikipedia.org/wiki/Labour_Democratic_Party,,,,,,,,,,,,,380,131
86,5,11,SDF,Socialist Democratic Federation,Shaminren,Shaminren,社会民主連合,http://en.wikipedia.org/wiki/Socialist_Democratic_Federation_%28Japan%29,,,,71322,,,,,,,,,392,17
87,8,26,NMP,Dutch Middle Class Party,Nederlandse Middenstandspartij,Nederlandse Middenstandspartij,,http://en.wikipedia.org/wiki/Nederlandse_Middenstandspartij,,,,,,,,,,,,,528,50
92,37,26,CnP,Republican Party,Clann na Poblachta,Clann na Poblachta,,http://en.wikipedia.org/wiki/Clann_na_Poblachta,,,,53714,,,,,,,,,372,28
93,26,6,PRI,Republican Party,Partito Repubblicano Italiano,Partito Repubblicano Italiano,,http://en.wikipedia.org/wiki/Italian_Republican_Party,,,,32410,,,130,1006,2106,806,,806,380,34
94,67,2,KESK,Centre Party,Keskusta,Keskusta,,http://en.wikipedia.org/wiki/Centre_Party_%28Finland%29,,,,14810,90,1246810,17,603,1306,1403,5677,1403,246,27
95,39,40,MIEP,Hungarian Justice and Life Party,Magyar Igazság és Élet Pártja,Magyar Igazsag es Elet Partja,,http://en.wikipedia.org/wiki/Hungarian_Justice_and_Life_Party,,,,86620,,,,,,,1950,2305,348,22
98,26,40,AS,Social Action,Azione Sociale,Azione Sociale,,http://en.wikipedia.org/wiki/Social_Action,,,,,,,,,,,,,380,81
99,26,3,CCD,Christian Democratic Center,Centro Cristiano Democratico,Centro Cristiano Democratico,,http://en.wikipedia.org/wiki/Christian_Democratic_Centre,,,,32521,,,,,,815,,814,380,105
100,35,12,etc,others,andra,andra,,,,,,,,,,,,,,,752,995
103,48,6,AP,Alliance Party,Alliance Party,Alliance Party,,http://en.wikipedia.org/wiki/Alliance_Party_of_Northern_Ireland,,,,,,,,,2005,,7348,,1002,10
104,9,11,DNA,Norwegian Labour Party,Det norske Arbeiderparti,Det norske Arbeiderparti,,http://en.wikipedia.org/wiki/Det_Norske_Arbeiderparti,,,,12320,,,40,1302,2903,1503,7488,,578,31
107,63,16,PPM,Popular Monarchist Party,Partido Popular Monárquico,Partido Popular Monarquico,,http://en.wikipedia.org/wiki/People%27s_Monarchist_Party_%28Portugal%29,,,,35710,244,,,,,1203,,,620,18
108,74,11,S,Solidarnosc,Solidarność,Solidarnosc,,http://en.wikipedia.org/wiki/Solidarity_(Polish_trade_union),,,,92320,,,,,,,,,616,49
109,74,16,KPEiR,National Party of Pensioners and Retired,Krajowa Partia Emerytów i Rencistów,Krajowa Partia Emerytow i Rencistow,,http://pl.wikipedia.org/wiki/Krajowa_Partia_Emeryt%C3%B3w_i_Rencist%C3%B3w,,,,,,,,,,,,,616,69
111,55,27,LNNK/LZP,Latvian National Independence Movement / Latvian Green Party,Latvijas Nacionālās Neatkarības Kustība / Latvijas Zaļā partija,Latvijas Nacionalas Neatkaribas Kustiba / Latvijas Zala partija,,,,,,87611,,,,,,,,,428,67
112,8,16,AOV,General Senior Union / Union 55+,Algemeen Ouderen Verbond / Unie 55+,Algemeen Ouderen Verbond / Unie 55+,,http://en.wikipedia.org/wiki/Algemeen_Ouderen_Verbond,,,,,,,,,,,,,528,25
113,75,6,ERe,Estonian Reform Party,Eesti Reformierakond,Eesti Reformierakond,,http://en.wikipedia.org/wiki/Eesti_Reformierakond,,,,83430,82,1233430,,,1208,,1794,2203,233,37
114,11,17,MP,Maori Party,Māori Party,Maori Party,,http://en.wikipedia.org/wiki/M%C4%81ori_Party,,,,64951,,,,,,,,,554,13
115,26,27,PPA,Pact for the Autonomies,Patto per le Autonomie,Patto per le Autonomie,,http://en.wikipedia.org/wiki/Pact_for_the_Autonomies,,,,,,,,,,,,,380,145
118,27,14,IU/PCE,United Left / Communist Party,Izquierda Unida / Partido Communista,Izquierda Unida / Partido Communista,,http://en.wikipedia.org/wiki/United_Left_(Spain),,,,33220,273,1724220,,1404,3602,504,7760,504,724,57
119,64,3,CSP,Christian Social Party,Christlich Soziale Partei,Christlich Soziale Partei,,http://en.wikipedia.org/wiki/CSP-EVP,,,,,,,,,,,,,56,14
120,33,11,AD,Australian Democrats,Australian Democrats,Australian Democrats,,http://en.wikipedia.org/wiki/Australian_Democrats,,,,63321,,,,102,203,,4703,,36,19
121,27,27,IP,Left of the Peoples,Izquierda de los Pueblos,Izquierda de los Pueblos,,http://es.wikipedia.org/wiki/Izquierda_de_los_Pueblos_(1989),,,,,,,,,,,,,724,12
124,15,12,todo,to be coded,to be coded,to be coded,,,,,,,,,,,,,,,440,999
125,55,12,etc,others,others,others,,,,,,,,,,,,,,,428,995
128,26,3,CDU,United Christian Democrats,Cristiani Democratici Uniti,Cristiani Democratici Uniti,,http://en.wikipedia.org/wiki/United_Christian_Democrats,,,,,,,,,,818,,818,380,111
129,15,28,MKDS,Modern Christian-Democratic Union,Moderniųjų krikščionių demokratų sąjunga,Moderniuju krikscioniu demokratu sajunga,,http://en.wikipedia.org/wiki/Liberal_and_Centre_Union,,,,,,,,,,,,2514,440,12
130,27,19,CLV,Confederation of The Greens,Confederación de Los Verdes,Confederacion de Los Verdes,,http://en.wikipedia.org/wiki/Confederation_of_The_Greens,,,,,,,,,,515,,514,724,10
131,1,3,SDKU-DS,Slovak Democratic and Christian Union -- Democratic Party,Slovenská demokratická a kresťanská únia – Demokratická strana,Slovenska demokraticka a krestanska unia -- Demokraticka strana,,http://en.wikipedia.org/wiki/Slovak_Democratic_and_Christian_Union_%E2%80%93_Democratic_Party,,,,96523,256,1703523,,,,,4079,2802,703,10
132,48,11,PUP,Progressive Unionist Party,Progressive Unionist Party,Progressive Unionist Party,,http://en.wikipedia.org/wiki/Progressive_Unionist_Party,,,,,,,,,,,7408,,1002,23
133,10,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,,,,,,,,100,990
134,56,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,,,,,,,,352,990
135,27,6,UCD,Union of the Democratic Centre,Unión de Centro Democrático,Union de Centro Democratico,,http://en.wikipedia.org/wiki/Democratic_Centre_Union,,,,33430,,,,1410,,,,,724,58
137,54,3,Zentrum,Centre Party,Deutsche Zentrumspartei,Deutsche Zentrumspartei,,http://en.wikipedia.org/wiki/Centre_Party_%28Germany%29,,,,41522,,,,,,,,,276,31
138,43,26,RPR,Rally for the Republic,Rassemblement pour la République,Rassemblement pour la Republique,,http://en.wikipedia.org/wiki/Rassemblement_pour_la_R%C3%A9publique,,,,31625,,,,706,1411,609,5873,609,250,40
139,67,26,SKYP,Finnish People's Unity Party,Suomen kansan yhtenäisyyden puolueen – Finlands folks enhetsparti,Suomen kansan yhtenaisyyden puolueen -- Finlands folks enhetsparti,,http://en.wikipedia.org/wiki/Party_of_the_Unity_of_the_Finnish_People,"edu, rpfi",Most MPs from the Rural Party (SMP) formed a new parliamentary group on 17 October 1972 and the party was registered on 29 December 1972.,,,,,,,,,,,246,21
140,44,28,IrLP,Irish Labout Party,Irish Labout Party,Irish Labout Party,,http://en.wikipedia.org/wiki/Labour_Party_%28Ireland%29,,,,,,,,,,,,,826,30
141,40,19,Grue,Greens,Grüne – Écologiste,Gruene -- Écologiste,,http://en.wikipedia.org/wiki/Green_Party_of_Switzerland,,,,43110,290,,,,,1711,8044,,756,10
142,26,3,PPI,Italian People's Party,Partito Popolare Italiano,Partito Popolare Italiano,,http://en.wikipedia.org/wiki/Italian_People%27s_Party_(1994-2002),,,,32520,,,,,,801,,823,380,79
143,60,11,DS,Democratic Party of Slovenia,Demokratska stranka Slovenije,Demokratska stranka Slovenije,,http://en.wikipedia.org/wiki/Democratic_Party_of_Slovenia,,,,97430,,,,,,,,,705,37
145,26,28,Lad,Anti Drug League,Lega antiproibizionisti droga,Lega antiproibizionisti droga,,,,,,,,,,,,,,,380,84
146,68,6,US,Freedom Union,Unie svobody,Unie svobody,,http://en.wikipedia.org/wiki/Freedom_Union_(Czech_Republic),,,,,,,,,,,,,203,24
147,56,16,Sk,Womens Alliance,Samtök um kvennalista,Samtök um kvennalista,,http://en.wikipedia.org/wiki/Women%27s_List,,,,15951,,,,,1701,,,,352,27
148,74,26,ROP,Movement for the Reconstruction of Poland,Ruch Odbudowy Polski,Ruch Odbudowy Polski,,http://en.wikipedia.org/wiki/Ruch_Odbudowy_Polski,,,,92621,,,,,,,3058,,616,45
149,75,16,MKE,Our Home is Estonia!,Meie Kodu on Eestimaa!,Meie Kodu on Eestimaa!,,http://en.wikipedia.org/wiki/Estonian_parliamentary_election%2C_1995,,,,83951,,,,,,,,,233,16
150,66,11,SDPU,Social Democratic Party of Ukraine (united),Sotsial Demokratychna Partiyia Ukrainy,Sotsial Demokratychna Partiyia Ukrainy,Соцiал-демократична партiя України (об`єднана),http://en.wikipedia.org/wiki/United_Social-Democratic_Party_of_Ukraine,,,,98427,,,,,,,4547,,804,11
151,7,14,KPL,Communist Party of Luxembourg,Kommunistesch Partei Lëtzebuerg – Parti Communiste Luxembourgeois – Kommunistische Partei Luxemburg,Kommunistesch Partei Letzebuerg -- Parti Communiste Luxembourgeois -- Kommunistische Partei Luxemburg,,http://en.wikipedia.org/wiki/Communist_Party_of_Luxembourg,,,,23220,216,1442220,135,,,904,,,442,20
152,23,28,GDC,Democratic Group of the Centre,Grupul Democrat de Centru,Grupul Democrat de Centru,,,,,,93529,,,,,,,,,642,65
154,33,6,LNPQ,Liberal National Party of Queensland,Liberal National Party of Queensland,Liberal National Party of Queensland,,http://en.wikipedia.org/wiki/Liberal_National_Party_of_Queensland,,,,,,,,,,,,,36,15
155,51,6,KF,Liberal Party,Komma Fileleftheron,Komma Fileleftheron,Κόμμα Φιλελευθέρων,,,,,55421,,,,,,,,,196,29
156,37,11,NL,National Labour Party,National Labour Party,National Labour Party,,http://en.wikipedia.org/wiki/National_Labour_Party_(Ireland),,,,,,,,,,,,,372,19
158,9,12,etc,others,andre,andre,,,,,,,,,,,,,,,578,995
161,64,19,Ecolo,Confederated ecologists for the organisation of original struggles,Écologistes Confédérés pour l'organisation de luttes originales,Ecologistes Confederes pour l'organisation de luttes originales,,http://en.wikipedia.org/wiki/Ecolo,,,,21111,23,1056111,,305,402,104,4923,104,56,10
163,5,11,DRP,Democratic Reform Party,Min-kai-ren,Min-kai-ren,民主改革連合,http://ja.wikipedia.org/wiki/%E6%B0%91%E4%B8%BB%E6%94%B9%E9%9D%A9%E9%80%A3%E5%90%88,kyodo,,,,,,,,,,,,392,15
164,26,14,CI,Italian Communists,Comunisti Italiani,Comunisti Italiani,,http://en.wikipedia.org/wiki/Partito_dei_Comunisti_Italiani,,,,,,,,,,,,,380,40
167,64,11,BSP-PSB,Belgian Socialist Party,Belgische Socialistische Partij – Parti Socialiste Belge,Belgische Socialistische Partij -- Parti Socialiste Belge,,http://en.wikipedia.org/wiki/Socialistische_Partij_-_Anders,,,,21320,,,93,302,,,,,56,66
168,64,27,PRL/FDF,Liberal Reformation Party / Francophone Democratic Front,Parti Réformateur Libéral / Front Démocratique des Francophones,Parti Reformateur Liberal / Front Democratique des Francophones,,http://en.wikipedia.org/wiki/Mouvement_R%C3%A9formateur,,,,21423,,,,,,,,106,56,59
170,5,26,NLC,New Liberal Club,Shin-jiyū-kurabu,Shin jiyu karuba,新自由クラブ,http://en.wikipedia.org/wiki/New_Liberal_Club,,,,71621,,,,,,,,,392,32
171,64,40,FN,National Front,Front National,Front National,,http://en.wikipedia.org/wiki/Front_national_(Belgium),,,,,,1056710,,,,,4943,115,56,38
173,26,28,RS,Socialist Renewal,Rinnovamento Socialista,Rinnovamento Socialista,,,,,,,,,,,,,,,380,134
175,26,14,PSI,Italian Socialist Party (2007),Partito Socialista Italiano,Partito Socialista Italiano,,http://en.wikipedia.org/wiki/Italian_Socialist_Party_%282007%29,,,,,,,,,,,,,380,159
176,26,40,MSFT,Fiamma Tricolore,Fiamma Tricolore,Fiamma Tricolore,,http://en.wikipedia.org/wiki/Fiamma_Tricolore,,,,,175,,,,,,6726,821,380,64
177,43,12,gauche,others left,divers gauche,divers gauche,,,,,,,,,,,,,,,250,48
179,60,11,SDS,Slovenian Democratic Party,Slovenska demokratska stranka,Slovenska demokratska stranka,,http://en.wikipedia.org/wiki/Social_Democratic_Party_of_Slovenia,,,,97320,263,1705320,,,,,4261,2902,705,36
180,74,27,LiD,Left and Democrats,Lewica i Demokraci,Lewica i Demokraci,,http://en.wikipedia.org/wiki/Left_and_Democrats,,,,,,,,,,,3102,,616,31
181,74,16,X,Party X,Partia X,Partia X,,http://pl.wikipedia.org/wiki/Partia_X,,,,92712,,,,,,,,,616,26
184,33,26,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,,http://en.wikipedia.org/wiki/National_Party_of_Australia,,,,63810,,,,104,206,,4775,,36,18
185,54,19,Grue,Greens,Die Grünen,Die Gruenen,,http://en.wikipedia.org/wiki/German_Green_Party,phb,"Formed on 12/13 January 1980 at a party congress in Karlsruhe (Stöss 1986, 1581).",,41111,,,,802,1502,305,6015,304,276,10
187,54,28,DRP,German Reich Party,Deutsche Reichspartei,Deutsche Reichspartei,,http://en.wikipedia.org/wiki/Deutsche_Reichspartei,,,,41712,,,,,,,,,276,37
189,21,14,VS,Left Socialists,Venstresocialisterne,Venstresocialisterne,,http://en.wikipedia.org/wiki/Left_Socialists,,,,13210,,,6,501,,215,,,208,33
191,15,2,LVLS,Lithuanian Peasant Popular Union,Lietuvos valstiečių liaudininkų sąjunga,Lietuvos valstiecic liaudininkc sajunga,,http://en.wikipedia.org/wiki/Lithuanian_Peasant_Popular_Union,,,,,,,,,,,2432,,440,21
194,26,28,FSN,National Social Front,Fronte Sociale Nazionale,Fronte Sociale Nazionale,,http://en.wikipedia.org/wiki/National_Social_Front,,,,,,,,,,,,,380,146
195,69,2,DBD,Democratic Farmers' Party of Germany,Demokratische Bauernpartei Deutschlands,Demokratische Bauernpartei Deutschlands,,http://en.wikipedia.org/wiki/Democratic_Farmers%27_Party_of_Germany,,,,85524,,,,,,,,,1003,25
196,68,19,SZ,Green Party,Strana zelených,Strana zelenych,,http://en.wikipedia.org/wiki/Green_Party_(Czech_Republic),,,,,61,1203110,,,,,1536,2107,203,22
198,39,28,HVK,Patriotic Elections Coalition,Hazafias Választási Koalíció,Hazafias Valasztasi Koalicio,,,,,,,,,,,,,,,348,42
199,60,17,Ita,Italian national community,Italijanska narodna skupnost,Italijanska narodna skupnost,,,,,,,,,,,,,,,705,50
200,67,2,SP-P,Finnish Party -- True Finns,Suomen Puolue – Perussuomalaiset,Suomen Puolue -- Perussuomalaiset,,http://en.wikipedia.org/wiki/True_Finns,pc,,"""Suomen maaseudun puolue' (SMP) and 'Perussuomalaiset' (PS) are technically and legally two different parties. PS was established when SMP went bankrupt. But most of the persons working in SMP continued to work in PS. (...) In actual analysis most Finnish political scientists tend to handle them as same parties."" (Mikko Mattila, University of Helsinki; personal communication, October 2009)",14820,89,1246820,25,605,1307,1405,5717,1405,246,26
202,7,16,Ef,Forcibly Enlisted,Enroles de force,Enroles de force,,http://www.janda.org/ICPP/ICPP2000/Countries/2-ScandinaviaBenelux/27-Luxembourg/Luxembourg63-00.htm,,,,,,,,,,,,,442,12
203,55,40,TB,For Fatherland and Freedom,Tēvzemei un Brīvībai,Tevzemei un Brivibai,,http://en.wikipedia.org/wiki/Tevzemei_un_Brivibai,,,,87721,,,,,,,,,428,32
204,67,16,Np,Womens’ Movement,Naisten puolue – Kvinnopartiet,Naisten puolue -- Kvinnopartiet,,http://fi.wikipedia.org/wiki/Naisten_puolue,rpfi,,,,,,,,,1413,,,246,67
205,56,11,ThFf,People's Movement,Þjóðvaki – Fylking fólksins,Thjodvaki -- Fylking folksins,,http://en.wikipedia.org/wiki/Awakening_of_the_Nation,indridason,,,15323,,,,,,,,,352,19
207,74,2,SRP,Self-Defense of the Republic Poland,Samoobrona Rzeczypospolitej Polskiej,Samoobrona Rzeczypospolitej Polskiej,,http://en.wikipedia.org/wiki/Self-Defense_of_the_Polish_Republic,,,,92622,384,,,,,,3076,2604,616,56
209,8,40,CD,Centre Democrats,Centrum Democraten,Centrum Democraten,,http://en.wikipedia.org/wiki/Centrum_Democraten,,,,,,,,,2609,1009,,1009,528,52
210,56,19,Graen,Left-Green Movement,Vinstrihreyfingin – grænt framboð,Vinstrihreyfingin -- Graent frambod,,http://en.wikipedia.org/wiki/Left-Green_Movement,,,,15111,,,,,,,6273,,352,10
